time,temperature,humidity
19:34:01,29.0,29.5
19:34:11,29.0,29.6
19:36:09,29.0,29.7
19:36:19,29.0,29.6
19:36:29,29.0,29.6
19:36:56,29.0,29.7
19:37:06,29.0,29.7
19:37:17,29.0,29.7
19:37:29,29.0,29.7
19:37:48,29.0,29.7
19:37:55,29.0,29.8
19:38:05,29.0,29.7
19:38:18,29.0,29.8
19:38:25,29.0,29.8
19:39:11,29.0,29.5
19:39:22,29.0,29.4
19:39:29,29.0,29.3
19:39:58,29.0,29.6
19:40:08,29.0,28.7
19:40:21,29.0,28.3
19:40:28,29.0,28.8
19:40:54,29.0,28.6
19:41:04,29.0,28.4
19:41:14,29.0,28.7
19:41:24,29.0,28.9
19:41:50,29.0,28.9
19:42:00,29.0,28.8
19:42:10,29.0,28.8
19:42:20,29.0,28.9
19:42:46,29.0,28.8
19:42:55,29.0,28.9
19:43:06,29.0,28.9
19:43:16,29.0,28.8
19:43:26,29.0,28.8
19:44:15,29.0,29.0
19:44:25,29.0,29.0
19:44:44,29.0,29.1
19:44:53,29.0,29.0
19:45:04,29.0,29.0
19:45:16,29.0,29.0
19:45:23,29.0,29.0
19:45:53,29.0,29.2
19:46:03,29.0,29.3
19:46:16,29.0,29.3
19:46:26,29.0,29.3
19:46:54,29.0,29.4
19:47:01,29.0,29.5
19:47:14,29.0,29.5
19:47:21,29.0,29.6
19:47:47,29.0,29.7
19:47:57,29.0,29.7
19:48:07,29.0,29.7
19:48:17,29.0,29.8
19:48:27,29.0,29.8
19:48:44,29.0,29.8
19:48:53,29.0,29.8
19:49:04,29.0,29.9
19:49:14,29.0,29.8
19:49:23,29.0,29.8
19:50:07,29.0,29.9
19:50:19,29.0,29.9
19:50:26,29.0,29.8
19:50:36,29.0,29.9
19:50:46,28.9,29.9
19:50:56,29.0,29.9
19:51:06,29.0,29.9
19:51:16,29.0,29.9
19:51:26,29.0,30.0
19:51:36,29.0,30.1
19:51:49,29.0,30.0
19:51:57,29.0,30.0
19:52:07,29.0,30.0
19:52:19,29.0,30.0
19:52:27,29.0,30.0
19:52:39,29.0,30.0
19:52:47,29.0,30.1
19:52:56,29.0,30.1
19:53:06,28.9,30.0
19:53:16,29.0,30.0
19:53:26,28.9,30.0
19:53:36,29.0,30.1
19:53:49,29.0,30.1
19:53:56,29.0,30.1
19:54:06,29.0,30.2
19:54:19,29.0,30.1
19:54:26,29.0,30.1
19:54:36,29.0,30.2
19:54:49,29.0,30.2
