time,temperature,humidity
09:58:21,28.4,35.0
09:58:26,28.4,34.9
09:58:31,28.5,35.0
09:58:36,28.4,35.0
09:58:41,28.4,34.9
09:58:46,28.4,35.0
09:58:51,28.4,34.9
09:58:56,28.4,35.0
09:59:01,28.5,34.9
09:59:06,28.4,34.8
09:59:11,28.4,34.7
09:58:16,28.4,34.6
09:58:21,28.4,34.7
09:58:26,28.4,34.8
09:58:31,28.5,34.9
09:58:36,28.5,35.0
09:58:41,28.4,35.1
09:58:46,28.5,35.0
09:58:51,28.5,35.1
09:58:56,28.5,35.2
09:59:01,28.4,35.1
09:59:06,28.5,35.1
09:59:11,28.4,35.1
09:58:16,28.4,35.2
09:58:21,28.5,35.2
09:58:26,28.4,35.3
09:58:31,28.4,35.3
09:58:36,28.5,35.3
09:58:41,28.4,35.4
09:58:46,28.5,35.2
09:58:51,28.4,35.2
09:58:56,28.4,35.3
09:59:01,28.4,35.3
09:59:06,28.4,35.3
09:59:11,28.4,35.2
09:58:16,28.6,34.7
09:58:21,28.6,34.9
09:58:26,28.6,34.7
09:58:31,28.6,34.4
09:58:36,28.6,34.6
09:58:41,28.6,34.6
09:58:46,28.5,34.8
09:58:51,28.6,34.8
09:58:56,28.6,34.8
09:59:01,28.6,34.9
09:59:06,28.5,34.8
09:58:16,28.6,34.6
09:58:21,28.6,34.5
09:58:26,28.6,34.4
09:58:26,28.8,34.0
09:58:36,28.8,34.0
09:58:46,28.8,33.7
09:58:56,28.8,33.7
09:59:01,28.8,33.7
09:59:06,28.8,33.8
